,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,I Will Always Love You,The Bodyguard - Original Soundtrack Album,Whitney Houston,1992-11-17,271093,77,0.306,0.844,0.306,0.214,5.3e-06,0.0839,-12.518,0.0356,66.98,4
1,Love of the Common People,From Time To Time - The Singles Collection,Paul Young,1991-09-07,220733,56,0.744,0.0883,0.744,0.609,0.0,0.0599,-11.202,0.0758,90.723,4
2,Because I Love You,The Hits Of Shakin' Stevens Vol II,Shakin' Stevens,1997-01-01,197600,40,0.587,0.244,0.587,0.343,0.00012,0.118,-12.891,0.0255,102.07,4
3,Song For Zula,Muchacho De Lujo (Deluxe Edition),Phosphorescent,2013-10-29,370200,59,0.492,0.729,0.492,0.626,0.533,0.0509,-8.26,0.0349,86.016,4
4,Song for Zula,Built to Break,Ronnie Fauss,2014-11-04,296840,31,0.506,0.734,0.506,0.422,1.27e-05,0.0737,-6.931,0.0246,142.009,4
5,Every Time You Go Away - Radio Edit,From Time To Time - The Singles Collection,Paul Young,1991-09-07,267000,71,0.572,0.187,0.572,0.721,7.41e-06,0.216,-8.959,0.0402,164.252,4
6,The Night We Met,Strange Trails,Lord Huron,2015-04-06,208211,17,0.443,0.969,0.443,0.369,0.277,0.638,-9.514,0.0441,174.107,3
7,"It's Been a Long, Long Time",Texas Chatter,Harry James,2008-10-29,205773,59,0.277,0.945,0.277,0.216,0.00116,0.325,-9.66,0.03,75.258,4
8,"My Heart Will Go On - Love Theme from ""Titanic""",Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,James Horner,1997,310590,53,0.157,0.801,0.157,0.119,0.000998,0.126,-20.156,0.036,67.005,3
9,How Deep Is Your Love,Greatest,Bee Gees,1979-01-01,245200,78,0.633,0.105,0.633,0.357,0.0,0.133,-9.366,0.0264,104.938,4
10,Love Me Like You,Get Weird (Deluxe),Little Mix,2015-11-06,197786,71,0.785,0.208,0.785,0.674,0.0,0.285,-3.936,0.043,106.057,4
11,Still Your King,SEX AND LOVE (Deluxe),Enrique Iglesias,2014-01-01,217253,26,0.688,0.0126,0.688,0.839,0.0,0.356,-4.252,0.126,127.991,4
12,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,83,0.645,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,4
13,Dollar Bill (feat. Kid Ink),Dollar Bill (feat. Kid Ink),Phoebe Ryan,2016-07-08,226973,38,0.648,0.0441,0.648,0.762,0.0,0.127,-5.116,0.0667,87.969,4
14,Invisible - from the Netflix Film Klaus,Invisible (from the Netflix Film Klaus),Zara Larsson,2019-11-08,173975,59,0.519,0.0571,0.519,0.731,0.0,0.381,-3.993,0.0402,82.967,4
15,Somebody Come Get Her,Somebody Come Get Her,Dj Orlinda,2016-02-23,210162,5,0.835,0.0498,0.835,0.447,2.9e-06,0.0636,-8.181,0.0753,92.518,4
16,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-10-09,176840,95,0.77,0.0167,0.77,0.724,0.0107,0.353,-5.484,0.0495,121.975,4
17,Intentions,Intentions,Justin Bieber,2020-02-07,212868,87,0.811,0.317,0.811,0.553,0.0,0.105,-6.644,0.0552,148.014,4
18,Criminal,Femme Fatale (Deluxe Version),Britney Spears,2011-03-28,225080,70,0.696,0.0485,0.696,0.734,0.0,0.183,-5.294,0.0298,107.987,4
19,Something New (feat. Ty Dolla $ign),Something New (feat. Ty Dolla $ign),Wiz Khalifa,2017-08-11,200773,63,0.814,0.0935,0.814,0.635,0.0,0.0892,-6.609,0.0809,87.581,4
20,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,92,0.863,0.305,0.863,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4
21,Tusa,Tusa,KAROL G,2019-11-07,200960,91,0.803,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,101.085,4
22,in my head,"thank u, next",Ariana Grande,2019-02-08,222946,72,0.662,0.173,0.662,0.6,0.000137,0.109,-6.402,0.0703,134.979,4
23,"Alone, Pt. II","Alone, Pt. II",Alan Walker,2019-12-27,179052,82,0.67,0.536,0.67,0.668,0.0,0.133,-4.306,0.0422,88.033,4
24,Somewhere (feat. Gus Dapperton),Somewhere (feat. Gus Dapperton),Surf Mesa,2020-07-31,183943,68,0.731,0.00295,0.731,0.636,0.00059,0.196,-6.845,0.0314,122.996,4
25,Be Kind (with Halsey) [Surf Mesa Remix],Be Kind (with Halsey) [Surf Mesa Remix],Marshmello,2020-06-12,174289,69,0.684,0.0305,0.684,0.677,0.0,0.093,-5.398,0.0426,113.12,4
